"MoldyGuacamole	Default Role	21. Aug 2017"	" 03:28	69.248.1.182"
"acryIic	Default Role	20. Aug 2017"	" 23:02	199.66.90.43"
"Conjured	Default Role	20. Aug 2017"	" 23:02	81.100.35.97"
"Koffe7	Default Role	20. Aug 2017"	" 23:02	78.67.213.220"
"Oz2	Default Role	20. Aug 2017"	" 22:16	100.12.90.192"
"Curly_McFluffen	Default Role	20. Aug 2017"	" 23:02	68.235.53.251"
"JungleGhost	Default Role	20. Aug 2017"	" 20:13	217.120.169.9"
"ItsChunkyYT	Default Role	21. Aug 2017"	" 05:51	82.23.65.23"
"berfin_033	Default Role	20. Aug 2017"	" 19:44	83.80.197.183"
"CoopMastermind	Default Role	20. Aug 2017"	" 23:02	173.171.194.253"
"FreeDivineGod	Default Role	20. Aug 2017"	" 19:47	99.192.39.47"
"llil	Default Role	20. Aug 2017"	" 18:57	174.59.219.140"
"Jose785	Default Role	20. Aug 2017"	" 23:02	76.26.48.11"
"Dumpty	Default Role	20. Aug 2017"	" 18:41	109.147.107.213"
"ArvexYT	Default Role	20. Aug 2017"	" 19:44	2.30.119.217"
"Vumify	Default Role	20. Aug 2017"	" 19:44	40.131.140.241"
"Fjuz	Default Role	21. Aug 2017"	" 06:28	85.144.119.220"
"HyperStrafes	Default Role	20. Aug 2017"	" 18:41	104.172.77.146"
"Worms	Default Role	20. Aug 2017"	" 18:08	104.178.119.84"
"xSlayn	Default Role	20. Aug 2017"	" 18:41	86.86.118.50"
"BadKidddo	Default Role	20. Aug 2017"	" 18:06	73.13.15.16"
"vitoooooo	Default Role	20. Aug 2017"	" 22:05	213.245.80.38"
"Sefly	Default Role	20. Aug 2017"	" 18:06	86.162.42.254"
"SwordArtOnline_6	Default Role	13. Aug 2017"	" 22:16	98.181.24.6"
"Server	Default Role	20. Aug 2017"	" 18:06	47.35.170.245"
"cr3w_	Default Role	20. Aug 2017"	" 18:02	5.102.180.79"
"HenryMarioBauer	Default Role	20. Aug 2017"	" 18:02	73.102.118.221"
"ExoticGizmo	Default Role	20. Aug 2017"	" 18:06	82.45.212.76"
"Onlife	Default Role	20. Aug 2017"	" 18:02	77.166.133.81"
"Unharm	Default Role	20. Aug 2017"	" 18:02	104.185.127.75"
"speedster1296	Default Role	20. Aug 2017"	" 19:44	47.197.145.82"
"LavaHink	Default Role	20. Aug 2017"	" 18:02	213.89.85.42"
"A6A	Default Role	20. Aug 2017"	" 18:02	24.34.163.110"
"Figurati	Default Role	20. Aug 2017"	" 18:02	24.205.16.181"
"TestRun	Default Role	20. Aug 2017"	" 19:44	174.58.222.172"
"Zaytovan	Default Role	20. Aug 2017"	" 23:02	69.112.129.215"
"Stqcks	Default Role	20. Aug 2017"	" 17:37	24.11.205.95"
"katski	Default Role	20. Aug 2017"	" 18:41	173.32.254.196"
"Reportz	Default Role	20. Aug 2017"	" 19:48	51.37.210.184"
"Wabbit_	Default Role	20. Aug 2017"	" 19:44	104.61.169.94"
"Stxtic	Default Role	20. Aug 2017"	" 18:41	73.159.30.27"
"MagmaManMC	Default Role	20. Aug 2017"	" 20:00	108.206.109.204"
"Adalton15	Default Role	20. Aug 2017"	" 18:14	162.255.10.87"
"Adranii	Default Role	20. Aug 2017"	" 17:43	71.112.185.106"
"er0	Default Role	20. Aug 2017"	" 23:02	104.235.83.36"
"Whyli	Default Role	20. Aug 2017"	" 18:06	173.94.55.123"
"Snixtrix	Default Role	21. Aug 2017"	" 00:09	74.112.136.83"
"l8tr	Default Role	20. Aug 2017"	" 18:08	47.223.173.12"
"Ravaging	Default Role	20. Aug 2017"	" 17:32	82.24.183.99"
"svantezch	Default Role	20. Aug 2017"	" 17:32	83.184.181.61"
"CableStation	Default Role	20. Aug 2017"	" 17:32	146.90.91.193"
"MrAssKid	Default Role	20. Aug 2017"	" 18:02	84.214.231.90"
"C0RN3R	Default Role	20. Aug 2017"	" 18:41	94.208.13.34"
"Lootinq3	Default Role	20. Aug 2017"	" 18:08	81.102.55.130"
"ChillyWind	Default Role	20. Aug 2017"	" 17:32	104.13.0.154"
"SaltyMove	Default Role	20. Aug 2017"	" 17:32	84.83.14.202"
"MyrMythios	Default Role	20. Aug 2017"	" 23:02	46.129.80.22"
"iRoasted	Default Role	20. Aug 2017"	" 17:32	75.155.222.14"
"GalaxyS7	Default Role	21. Aug 2017"	" 00:09	174.223.132.76"
"iTzSenne	Default Role	20. Aug 2017"	" 17:32	178.116.112.118"
"Reinsure	Default Role	21. Aug 2017"	" 06:56	73.35.228.152"
"AbarisPvP	Default Role	21. Aug 2017"	" 05:58	86.142.141.95"
"Voltu	Default Role	20. Aug 2017"	" 17:32	217.63.210.109"
"TypeDelete	Default Role	20. Aug 2017"	" 18:06	108.85.249.105"
"Cappings	Default Role	20. Aug 2017"	" 18:06	72.180.209.169"
"hannah2993	Default Role	20. Aug 2017"	" 18:11	68.0.141.146"
"Cr1ngy	Default Role	21. Aug 2017"	" 06:56	76.117.39.234"
"GarGarGF10lore	Default Role	21. Aug 2017"	" 00:07	75.24.45.44"
"kookoolady	Default Role	20. Aug 2017"	" 17:43	84.26.70.205"
"Shoogster	Default Role	20. Aug 2017"	" 17:43	71.15.14.239"
"HeqlthPots	Default Role	21. Aug 2017"	" 04:42	79.167.144.75"
"BabyAntiBully	Default Role	20. Aug 2017"	" 17:43	98.110.244.25"
"Tijnn	Default Role	20. Aug 2017"	" 18:02	86.89.23.195"
"Nah_kiddo	Default Role	20. Aug 2017"	" 18:02	84.28.125.168"
"3thy	Default Role	20. Aug 2017"	" 18:02	77.138.163.208"
"Fusionzzzz	Default Role	20. Aug 2017"	" 18:41	72.180.144.60"
"AidanL9	Default Role	20. Aug 2017"	" 18:02	68.189.178.186"
"Damaginq	Default Role	20. Aug 2017"	" 17:37	82.24.183.99"
"Opladen	Default Role	20. Aug 2017"	" 16:33	84.26.70.205"
"ShannonD28	Default Role	20. Aug 2017"	" 19:54	71.12.153.156"
"Gestation	Default Role	20. Aug 2017"	" 23:02	79.64.102.108"
"ShootMySchool	Default Role	21. Aug 2017"	" 05:24	71.79.34.243"
"rqq	Default Role	20. Aug 2017"	" 18:11	71.77.241.133"
"kedoe	Default Role	20. Aug 2017"	" 23:50	128.90.24.74"
"TewSimple	Default Role	20. Aug 2017"	" 18:06	76.224.237.203"
"BURTCHIE	Default Role	20. Aug 2017"	" 19:44	173.171.194.253"
"QuD3rp	Default Role	20. Aug 2017"	" 17:32	83.82.18.215"
"ThugPiggy	Default Role	20. Aug 2017"	" 17:32	108.218.198.20"
"TaxIncome	Default Role	20. Aug 2017"	" 18:14	97.98.197.222"
"Hier	Default Role	20. Aug 2017"	" 18:41	86.234.13.184"
"ZoidPvP	Default Role	21. Aug 2017"	" 05:51	47.32.19.234"
"OfficialDawn	Default Role	20. Aug 2017"	" 18:33	68.189.178.186"
"xSnowLow	Default Role	20. Aug 2017"	" 23:02	82.170.162.27"
"xJinq	Default Role	20. Aug 2017"	" 19:58	94.214.211.210"
"Ayns	Default Role	20. Aug 2017"	" 17:43	213.119.10.113"
"Keio	Default Role	20. Aug 2017"	" 23:02	97.94.211.181"
"ProductStrqfes	Default Role	20. Aug 2017"	" 18:02	67.234.86.216"
"PotGod	Default Role	15. Aug 2017"	" 15:43	181.188.10.187"
"SmhMuch	Default Role	14. Aug 2017"	" 23:15	70.24.58.251"
"JMIWitkowski	Default Role	15. Aug 2017"	" 16:10	181.188.10.187"
"4xduurder	Default Role	20. Aug 2017"	" 19:44	77.251.28.78"
"PETRIFIED	Default Role	21. Aug 2017"	" 06:01	184.56.61.141"
"KuteLuvr	Default Role	14. Aug 2017"	" 01:13	5.69.40.146"
"IMAPILLOW	Default Role	15. Aug 2017"	" 16:17	181.188.10.187"
